rating,playtime,achievements_count,game_series_count,reviews_count
4.33,1,0,0,12
0.0,0,0,0,0
4.17,2,66,1,549
3.56,5,44,0,25
0.0,3,21,0,5
0.0,0,0,0,1
0.0,0,0,0,0
2.62,3,44,0,8
4.23,2,10,13,591
0.0,3,185,0,1
4.11,1,0,0,390
4.4,2,13,13,501
4.14,1,14,13,411
0.0,0,0,0,0
0.0,0,0,0,0
3.75,0,78,0,28
0.0,1,0,0,0
0.0,0,0,0,1
0.0,8,14,0,0
2.75,4,6,0,16
2.64,4,152,0,11
0.0,4,65,0,1
0.0,0,0,0,0
3.7,3,45,0,10
0.0,0,0,0,5
3.73,1,0,0,51
0.0,1,0,0,2
0.0,1,28,0,3
3.1,4,60,0,51
0.0,0,0,0,0
0.0,4,68,0,2
0.0,4,27,0,3
0.0,4,8,0,1
0.0,0,0,0,0
0.0,6,35,0,0
2.45,4,48,0,11
3.0,5,30,0,7
0.0,6,10,0,0
0.0,0,0,0,0
0.0,5,11,0,1
3.46,3,15,0,50
3.17,3,0,0,6
4.0,1,0,0,27
2.91,4,151,0,55
3.75,1,0,0,24
0.0,0,0,0,1
4.05,4,58,0,269
4.14,13,334,4,1333
0.0,0,0,0,0
0.0,5,0,0,2
0.0,1,13,0,2
0.0,0,0,0,2
2.38,2,1,0,16
0.0,0,0,0,0
3.81,5,20,0,16
3.45,4,14,0,69
0.0,0,0,0,0
0.0,0,0,0,0
4.01,3,104,0,155
0.0,1,48,0,1
0.0,4,29,0,0
0.0,0,0,0,3
0.0,6,0,0,0
2.74,5,22,0,43
3.04,3,82,0,24
0.0,3,7,0,1
0.0,0,0,0,0
0.0,0,0,0,0
0.0,1,30,0,3
0.0,0,0,0,0
0.0,3,20,0,3
3.83,2,0,0,119
3.8,3,87,0,10
0.0,1,0,0,4
0.0,5,36,0,0
3.17,3,55,0,12
1.75,5,135,0,12
3.26,1,0,0,105
0.0,0,0,0,0
0.0,0,0,0,0
3.73,2,19,0,22
0.0,1,0,0,2
0.0,4,0,0,1
0.0,16,0,0,0
3.5,1,0,0,8
3.83,1,0,0,274
0.0,4,20,0,3
0.0,0,0,0,0
3.9,6,216,24,892
3.45,3,22,0,128
3.18,1,0,0,49
3.57,1,0,0,28
0.0,0,0,8,4
0.0,0,0,0,0
3.95,9,213,5,1385
3.95,2,0,15,21
3.32,6,0,1,65
0.0,2,37,0,5
4.26,4,30,0,35
0.0,4,13,0,1
4.4,4,42,0,1633
3.7,1,23,0,150
1.69,5,16,0,35
3.83,3,102,0,12
4.52,4,91,0,132
0.0,3,44,0,0
0.0,1,20,0,0
0.0,6,15,0,0
